item_key,item_name,description,unit_price,man_country,supplier,stock_quantity,unit
I00001,A&W Root Beer - 12 oz cans,a. Beverage - Soda,11.5,China,"CHERRY GROUP CO.,LTD",24,cans
I00002,A&W Root Beer Diet - 12 oz cans,a. Beverage - Soda,6.75,Bangladesh,DENIMACH LTD,12,cans
I00003,Barq's Root Beer - 12 oz cans,a. Beverage - Soda,6.75,Netherlands,Bolsius Boxmeer,12,cans
I00004,Cherry Coke 12oz,a. Beverage - Soda,6.75,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,cans
I00005,Cherry Coke Zero 12 pack,a. Beverage - Soda,6.75,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,cans
I00006,Coke Classic 12 oz cans,a. Beverage - Soda,16.25,Germany,Friedola 1888 GmbH,35,cans
I00007,Coke Classic 12 oz cans,a. Beverage - Soda,6.75,Netherlands,Bolsius Boxmeer,12,cans
I00008,Coke Zero Sugar 12 oz cans,a. Beverage - Soda,16.25,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,35,cans
I00009,Diet Coke - 12 oz cans,a. Beverage - Soda,16.25,Lithuania,BIGSO AB,35,cans
I00010,Diet Coke - 12 oz cans,a. Beverage - Soda,6.75,Finland,HARDFORD AB,12,cans
I00011,Diet Coke Caffeine Free 12oz cans,a. Beverage - Soda,6.75,United States,MAESA SAS,12,cans
I00012,Diet Dr. Pepper - 12 oz cans,a. Beverage - Soda,16.25,Lithuania,BIGSO AB,35,cans
I00013,Diet Gingerale 12 oz cans,a. Beverage - Soda,6.75,China,"CHERRY GROUP CO.,LTD",12,cans
I00014,Diet Mountain Dew 12oz cans,a. Beverage - Soda,6.75,Lithuania,BIGSO AB,12,cans
I00015,Diet Pepsi - 12 oz cans,a. Beverage - Soda,6.75,China,"CHERRY GROUP CO.,LTD",12,cans
I00016,Dr. Pepper - 12 oz cans,a. Beverage - Soda,16.25,Germany,Friedola 1888 GmbH,35,cans
I00017,Fresca Black Cherry - 12 oz cans,a. Beverage - Soda,6.75,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,cans
I00018,Fresca Original - 12 oz cans,a. Beverage - Soda,6.75,Bangladesh,DENIMACH LTD,12,cans
I00019,Fresca Peach Citrus - 12 oz cans,a. Beverage - Soda,6.75,poland,CHROMADURLIN S.A.S,12,cans
I00020,Ginger Ale - 12 oz cans,a. Beverage - Soda,6.75,Finland,HARDFORD AB,12,cans
I00021,Hawaiian Punch - 12 oz cans,a. Beverage - Soda,6.75,Lithuania,BIGSO AB,12,cans
I00022,Mountain Dew - 12 oz cans,a. Beverage - Soda,16.25,Finland,HARDFORD AB,36,cans
I00023,Pepsi - 12 oz cans,a. Beverage - Soda,6.75,United States,MAESA SAS,12,cans
I00024,Pepsi - 12 oz cans,a. Beverage - Soda,16.25,United States,MAESA SAS,36,cans
I00025,Seven Up - 12 oz cans,a. Beverage - Soda,11.5,China,"CHERRY GROUP CO.,LTD",24,cans
I00026,Sprite - 12 oz cans,a. Beverage - Soda,6.75,China,"CHERRY GROUP CO.,LTD",12,cans
I00027,Sprite - 12 oz cans,a. Beverage - Soda,16.25,India,Indo Count Industries Ltd,35,cans
I00028,Sprite Zero - 12 pack,a. Beverage - Soda,6.75,Finland,HARDFORD AB,12,cans
I00029,Sunkist Orange - 12 oz cans,a. Beverage - Soda,11.5,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,cans
I00030,La Croix Sparkling Berry 12 ozv,a. Beverage Sparkling Water,16,United States,MAESA SAS,24,cans
I00031,La Croix Sparkling Coconut 12 oz,a. Beverage Sparkling Water,16,Finland,HARDFORD AB,24,cans
I00032,La Croix Sparkling Cran-Raspberry 12 oz,a. Beverage Sparkling Water,16,Netherlands,Bolsius Boxmeer,24,cans
I00033,La Croix Sparkling Grapefruit 12 oz,a. Beverage Sparkling Water,16,India,Indo Count Industries Ltd,24,cans
I00034,La Croix Sparkling Lemon 12 oz,a. Beverage Sparkling Water,16,Germany,Friedola 1888 GmbH,24,cans
I00035,La Croix Sparkling Lime 12 oz,a. Beverage Sparkling Water,16,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,cans
I00036,La Croix Sparkling Orange 12 oz,a. Beverage Sparkling Water,16,poland,CHROMADURLIN S.A.S,24,cans
I00037,La Croix Sparkling Pure 12 oz,a. Beverage Sparkling Water,16,Netherlands,Bolsius Boxmeer,24,cans
I00038,Perrier Flavors Sparkling Water 16.9oz,a. Beverage Sparkling Water,23,Lithuania,BIGSO AB,24,bottles
I00039,Perrier Sparkling Water glass 11oz,a. Beverage Sparkling Water,26,United States,MAESA SAS,24,bottles
I00040,Perrier Sparkling Water plastic 16.9oz,a. Beverage Sparkling Water,22,Finland,HARDFORD AB,24,bottles
I00041,San Pelligrino 16oz Plastic ,a. Beverage Sparkling Water,23,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,bottles
I00042,Topo Chico 12 oz glass,a. Beverage Sparkling Water,28,Finland,HARDFORD AB,30,bottles
